hanja,sound,mean
公認認證書, 공인인증서,公 공평할 공 認 알 인 證 증거 증 書 글 서
引受引繼, 인수인계 ,引 끌 인 受 받을 수 繼 이을 계
我田引水, 아전인수,我 나 아 田 밭 전 引 끌 인 水 물 수
溪谷, 계곡,退溪  퇴계 退 물러날 퇴 溪 시내 계 淸溪 청계
離合集散,이합집산,離 떠날 리(이) 合 합할 합 集 모을 집 散 흩을 산-헤어졌다가 모였다가 하는 일.
狐假虎威,호가호위,狐 여우 호 假 거짓 가 虎 범 호 威 위엄 위
多情多恨,다정다한,多 많을 다 情 뜻 정 恨 한 한
栽培,재배,栽 심을 재 培 북을 돋울 배
一擧手一投足, 일거수일투족,全力投球 전력투구  球 공 구
朝三暮四,조삼모사,「매일(每日) 아침과 매일(每日) 저녁」
著名人士, 저명인사, 著 나타날 저 名 이름 명 人 사람 인 士 선비 사-세상(世上)에 널리 이름이 난 사람.
固執不通,고집불통,固 굳을 고 執 잡을 집 不 아닐 부 通 통할 통
全部, 전부,사물(事物)의 모두.
窮餘之策, 궁여지책, 窮 다할 궁 餘 남을 여 之 갈 지 策 꾀 책
迂餘曲折,우여곡절,迂 에돌 우 餘 남을 여 曲 굽을 곡 折 꺾을 절
壽命, 수명, 
喜壽,  희수, 희(喜)자를 칠로도 썼기 때문에 희수(喜壽)는 七 + 七세 즉, 77세를 일컬음
以熱治熱,이열치열,「열(熱)은 열(熱)로써 다스린다.」
匹夫之勇,匹夫匹婦,「하찮은 남자(男子)의 용기(勇氣)」 필부필부평범(平凡)한 남자(男子)와 평범(平凡)한 여자(女子).
泰山鳴動鼠一匹,태산명동서일필,泰 클 태 山 메 산 鳴 울 명 動 움직일 동 鼠 쥐 서 一 한 일 匹 짝 필「태산(泰山)이 떠나갈 듯이 요동(搖動)하게 하더니 뛰어나온 것은 쥐 한 마리 뿐이었다.」
太平天國,태평천국,天下太平 萬事太平 太平聖代  聖 성인 성 代 대신할 대
金枝玉葉, 금지옥엽,「금(金) 가지에 옥(玉) 잎사귀」란 뜻으로 -귀한 자손(子孫)
連理枝,연리지,連 잇닿을 련(연) 理 다스릴 리(이) 枝 가지 지 「두 나무의 가지가 맞닿아서 결이 서로 통(通)한 것」의 뜻으로, 화목(和睦)한 부부(夫婦) 또는 남녀(男女)
怨孰尤,수원숙우,誰 누구 수 怨 원망할 원 孰 누구 숙 尤 더욱 우 누구를 원망(怨望)하고 탓할 수가 없다는 뜻 
